date,player,agent,kills,deaths,assists,headshots,rounds_won,won
2024-01-05,Léa,Jett,18,6,4,8,13,true
2024-01-06,Dylan,Omen,11,9,7,3,10,false
2024-01-10,Léa,Reyna,22,8,2,11,9,false
2024-01-11,Dylan,Astra,9,11,8,2,7,false
2024-01-14,Léa,Jett,25,5,3,13,13,true
2024-01-15,Dylan,Brimstone,14,7,9,4,13,true
2024-01-19,Léa,Neon,20,7,5,9,13,true
2024-01-20,Dylan,Omen,10,12,6,3,6,false
2024-01-24,Léa,Reyna,17,9,3,7,13,true
2024-01-25,Dylan,Astra,13,8,10,5,13,true
2024-01-29,Léa,Jett,23,6,4,12,13,true
2024-01-30,Dylan,Viper,8,13,7,2,5,false
2024-02-03,Léa,Neon,19,7,6,8,13,true
2024-02-04,Dylan,Omen,12,9,8,3,11,false
2024-02-07,Léa,Jett,21,5,3,10,13,true
2024-02-08,Dylan,Brimstone,15,8,11,4,13,true
2024-02-12,Léa,Reyna,16,10,2,6,8,false
2024-02-13,Dylan,Astra,11,10,9,3,9,false
2024-02-17,Léa,Jett,24,4,5,14,13,true
2024-02-18,Dylan,Omen,13,8,7,4,13,true
2024-02-22,Léa,Neon,20,8,4,9,13,true
2024-02-23,Dylan,Viper,9,11,6,2,7,false
2024-02-27,Léa,Jett,18,6,3,8,13,true
2024-02-28,Dylan,Brimstone,14,9,8,5,11,false
2024-03-04,Léa,Reyna,22,7,2,10,13,true
